SapaLogicColor,TechDesignColor,SurfaceTreatmentGroup,OutputText,RGB,DescriptionSE,DescriptionNO,DescriptionDK,DescriptionFI,DescriptionEN,DescriptionPL
RAL6015 - GL80,R6015.840,RS_1,RAL6015_GL80,N|60|61|54,RAL 6015 Svart oliv Glans 80,RAL 6015 Black olive Glans 80,RAL 6015 Black olive Glans 80,RAL 6015 Black olive Kiiltoaste 80,RAL 6015 Black olive Gloss 80,RAL 6015 Czarna oliwka Polysk 80
RAL6016 - GL30,R6016.340,RS_1,RAL6016_GL30,N|0|106|76,RAL 6016 Turkosgrön Glans 30,RAL 6016 Turquoise green Glans 30,RAL 6016 Turquoise green Glans 30,RAL 6016 Turquoise green Kiiltoaste 30,RAL 6016 Turquoise green Gloss 30,RAL 6016 Turkusowo-zielony Polysk 30
RAL6016 - GL80,R6016.840,RS_1,RAL6016_GL80,N|0|106|76,RAL 6016 Turkosgrön Glans 80,RAL 6016 Turquoise green Glans 80,RAL 6016 Turquoise green Glans 80,RAL 6016 Turquoise green Kiiltoaste 80,RAL 6016 Turquoise green Gloss 80,RAL 6016 Turkusowo-zielony Polysk 80
RAL6017 - GL30,R6017.340,RS_1,RAL6017_GL30,N|83|128|63,RAL 6017 Majgrön Glans 30,RAL 6017 May green Glans 30,RAL 6017 May green Glans 30,RAL 6017 May green Kiiltoaste 30,RAL 6017 May green Gloss 30,RAL 6017 Zielon majowaPolysk 30
RAL6017 - GL80,R6017.840,RS_1,RAL6017_GL80,N|83|128|63,RAL 6017 Majgrön Glans 80,RAL 6017 May green Glans 80,RAL 6017 May green Glans 80,RAL 6017 May green Kiiltoaste 80,RAL 6017 May green Gloss 80,RAL 6017 Zielon majowaPolysk 80
RAL6018 - GL30,R6018.340,RS_1,RAL6018_GL30,N|89|154|57,RAL 6018 Gulgrön Glans 30,RAL 6018 Yellow green Glans 30,RAL 6018 Yellow green Glans 30,RAL 6018 Yellow green Kiiltoaste 30,RAL 6018 Yellow green Gloss 30,RAL 6018 Zólto-zielony Polysk 30
RAL6018 - GL80,R6018.840,RS_1,RAL6018_GL80,N|89|154|57,RAL 6018 Gulgrön Glans 80,RAL 6018 Yellow green Glans 80,RAL 6018 Yellow green Glans 80,RAL 6018 Yellow green Kiiltoaste 80,RAL 6018 Yellow green Gloss 80,RAL 6018 Zólto-zielony Polysk 80
RAL6019 - GL30,R6019.340,RS_1,RAL6019_GL30,N|183|206|172,RAL 6019 Pastellgrön Glans 30,RAL 6019 Pastel green Glans 30,RAL 6019 Pastel green Glans 30,RAL 6019 Pastel green Kiiltoaste 30,RAL 6019 Pastel green Gloss 30,RAL 6019 Pastelowy zielony  Polysk 30
RAL6019 - GL80,R6019.840,RS_1,RAL6019_GL80,N|183|206|172,RAL 6019 Pastellgrön Glans 80,RAL 6019 Pastel green Glans 80,RAL 6019 Pastel green Glans 80,RAL 6019 Pastel green Kiiltoaste 80,RAL 6019 Pastel green Gloss 80,RAL 6019 Pastelowy zielony Polysk 80
RAL6020 - GL30,R6020.340,RN_1,RAL6020_GL30,N|54|66|47,RAL 6020 Kromoxidgrön Glans 30,RAL 6020 Chrome green Glans 30,RAL 6020 Chrome green Glans 30,RAL 6020 Chrome green Kiiltoaste 30,RAL 6020 Chrome green Gloss 30,RAL 6020 Chromowo-zielony Polysk 30
RAL6020 - GL80,R6020.840,RS_1,RAL6020_GL80,N|54|66|47,RAL 6020 Kromoxidgrön Glans 80,RAL 6020 Chrome green Glans 80,RAL 6020 Chrome green Glans 80,RAL 6020 Chrome green Kiiltoaste 80,RAL 6020 Chrome green Gloss 80,RAL 6020 Chromowo-zielony Polysk 80
RAL6021 - GL30,R6021.340,RN_1,RAL6021_GL30,N|135|154|119,RAL 6021 Blågrön Glans 30,RAL 6021 Pale green Glans 30,RAL 6021 Pale green Glans 30,RAL 6021 Pale green Kiiltoaste 30,RAL 6021 Pale green Gloss 30,RAL 6021 Bladozielony Polysk 30
RAL6021 - GL80,R6021.840,RS_1,RAL6021_GL80,N|135|154|119,RAL 6021 Blågrön Glans 80,RAL 6021 Pale green Glans 80,RAL 6021 Pale green Glans 80,RAL 6021 Pale green Kiiltoaste 80,RAL 6021 Pale green Gloss 80,RAL 6021 Bladozielony Polysk 80
RAL6022 - GL30,R6022.340,RN_1,RAL6022_GL30,N|57|51|39,RAL 6022 Brunoliv Glans 30,RAL 6022 Olive-drab/brown olive Glans 30,RAL 6022 Olive-drab/brown olive Glans 30,RAL 6022 Olive-drab/brown olive Kiiltoaste 30,RAL 6022 Olive-drab/brown olive Gloss 30,RAL 6022 Oliwkowo brazowy Polysk 30
RAL6022 - GL80,R6022.840,RS_1,RAL6022_GL80,N|57|51|39,RAL 6022 Brunoliv Glans 80,RAL 6022 Olive-drab/brown olive Glans 80,RAL 6022 Olive-drab/brown olive Glans 80,RAL 6022 Olive-drab/brown olive Kiiltoaste 80,RAL 6022 Olive-drab/brown olive Gloss 80,RAL 6022 Oliwkowo brazowy Polysk 80
RAL6024 - GL30,R6024.340,RS_1,RAL6024_GL30,N|0|132|80,RAL 6024 Trafikgrön Glans 30,RAL 6024 Traffic green Glans 30,RAL 6024 Traffic green Glans 30,RAL 6024 Traffic green Kiiltoaste 30,RAL 6024 Traffic green Gloss 30,RAL 6024 Zielony ostrzegawczy Polysk 30
RAL6024 - GL80,R6024.840,RS_1,RAL6024_GL80,N|0|132|80,RAL 6024 Trafikgrön Glans 80,RAL 6024 Traffic green Glans 80,RAL 6024 Traffic green Glans 80,RAL 6024 Traffic green Kiiltoaste 80,RAL 6024 Traffic green Gloss 80,RAL 6024 Zielony ostrzegawczy Polysk 80
RAL6025 - GL30,R6025.340,RS_1,RAL6025_GL30,N|90|110|59,RAL 6025 Ormbunkegrön Glans 30,RAL 6025 Fern green Glans 30,RAL 6025 Fern green Glans 30,RAL 6025 Fern green Kiiltoaste 30,RAL 6025 Fern green Gloss 30,RAL 6025 Paproc zielona Polysk 30
RAL6025 - GL80,R6025.840,RS_1,RAL6025_GL80,N|90|110|59,RAL 6025 Ormbunkegrön Glans 80,RAL 6025 Fern green Glans 80,RAL 6025 Fern green Glans 80,RAL 6025 Fern green Kiiltoaste 80,RAL 6025 Fern green Gloss 80,RAL 6025 Paproc zielona Polysk 80
RAL6026 - GL30,R6026.340,RS_1,RAL6026_GL30,N|0|95|78,RAL 6026 Opalgrön Glans 30,RAL 6026 Opal green Glans 30,RAL 6026 Opal green Glans 30,RAL 6026 Opal green Kiiltoaste 30,RAL 6026 Opal green Gloss 30,RAL 6026 Opal zielony Polysk 30
RAL6026 - GL80,R6026.840,RS_1,RAL6026_GL80,N|0|95|78,RAL 6026 Opalgrön Glans 80,RAL 6026 Opal green Glans 80,RAL 6026 Opal green Glans 80,RAL 6026 Opal green Kiiltoaste 80,RAL 6026 Opal green Gloss 80,RAL 6026 Opal zielony Polysk 80
RAL6027 - GL30,R6027.340,RS_1,RAL6027_GL30,N|128|186|181,RAL 6027 Ljusgrön Glans 30,RAL 6027 Light green Glans 30,RAL 6027 Light green Glans 30,RAL 6027 Light green Kiiltoaste 30,RAL 6027 Light green Gloss 30,RAL 6027 Jasnozielony Polysk 30
RAL6027 - GL80,R6027.840,RS_1,RAL6027_GL80,N|128|186|181,RAL 6027 Ljusgrön Glans 80,RAL 6027 Light green Glans 80,RAL 6027 Light green Glans 80,RAL 6027 Light green Kiiltoaste 80,RAL 6027 Light green Gloss 80,RAL 6027 Jasnozielony Polysk 80
RAL6028 - GL30,R6028.340,RS_1,RAL6028_GL30,N|48|84|66,RAL 6028 Tallgrön Glans 30,RAL 6028 Pine green Glans 30,RAL 6028 Pine green Glans 30,RAL 6028 Pine green Kiiltoaste 30,RAL 6028 Pine green Gloss 30,RAL 6028 Sosnowa zielen Polysk 30
RAL6028 - GL80,R6028.840,RS_1,RAL6028_GL80,N|48|84|66,RAL 6028 Tallgrön Glans 80,RAL 6028 Pine green Glans 80,RAL 6028 Pine green Glans 80,RAL 6028 Pine green Kiiltoaste 80,RAL 6028 Pine green Gloss 80,RAL 6028 Sosnowa zielen Polysk 80
RAL6029 - GL30,R6029.340,RS_1,RAL6029_GL30,N|0|112|60,RAL 6029 Mintgrön Glans 30,RAL 6029 Mint green Glans 30,RAL 6029 Mint green Glans 30,RAL 6029 Mint green Kiiltoaste 30,RAL 6029 Mint green Gloss 30,RAL 6029 Zielony mietowy Polysk 30
RAL6029 - GL80,R6029.840,RS_1,RAL6029_GL80,N|0|112|60,RAL 6029 Mintgrön Glans 80,RAL 6029 Mint green Glans 80,RAL 6029 Mint green Glans 80,RAL 6029 Mint green Kiiltoaste 80,RAL 6029 Mint green Gloss 80,RAL 6029 Zielony mietowy Polysk 80
RAL0603005 - GL30,R6030.340,NC_1,RAL0603005_GL30,N|76|67|61,RAL Design 060 30 05 Glans 30,RAL Design 060 30 05 Glans 30,RAL Design 060 30 05 Glans 30,RAL Design 060 30 05 Kiiltoaste 30,RAL Design 060 30 05 Gloss 30,RAL Design 060 30 05 Polysk 30
RAL0603005 - GL80,R6030.840,NC_1,RAL0603005_GL80,N|76|67|61,RAL Design 060 30 05 Glans 80,RAL Design 060 30 05 Glans 80,RAL Design 060 30 05 Glans 80,RAL Design 060 30 05 Kiiltoaste 80,RAL Design 060 30 05 Gloss 80,RAL Design 060 30 05 Polysk 80
RAL6032 - GL30,R6032.340,RN_1,RAL6032_GL30,N|28|128|81,RAL 6032 Signalgrön Glans 30,RAL 6032 Signal green Glans 30,RAL 6032 Signal green Glans 30,RAL 6032 Signal green Kiiltoaste 30,RAL 6032 Signal green Gloss 30,RAL 6032 Zielony sygnalowy Polysk 30
RAL6032 - GL80,R6032.840,RS_1,RAL6032_GL80,N|28|128|81,RAL 6032 Signalgrön Glans 80,RAL 6032 Signal green Glans 80,RAL 6032 Signal green Glans 80,RAL 6032 Signal green Kiiltoaste 80,RAL 6032 Signal green Gloss 80,RAL 6032 Zielony sygnalowy Polysk 80
RAL6033 - GL30,R6033.340,RN_1,RAL6033_GL30,N|72|135|127,RAL 6033 Mintturkos Glans 30,RAL 6033 Mint turquoise Glans 30,RAL 6033 Mint turquoise Glans 30,RAL 6033 Mint turquoise Kiiltoaste 30,RAL 6033 Mint turquoise Gloss 30,RAL 6033 Turkus mietowy Polysk 30
RAL6033 - GL80,R6033.840,RS_1,RAL6033_GL80,N|72|135|127,RAL 6033 Mintturkos Glans 80,RAL 6033 Mint turquoise Glans 80,RAL 6033 Mint turquoise Glans 80,RAL 6033 Mint turquoise Kiiltoaste 80,RAL 6033 Mint turquoise Gloss 80,RAL 6033 Turkus mietowy Polysk 80
RAL6034 - GL30,R6034.340,RS_1,RAL6034_GL30,N|124|173|172,RAL 6034 Pastellturkos Glans 30,RAL 6034 Pastel turquoise Glans 30,RAL 6034 Pastel turquoise Glans 30,RAL 6034 Pastel turquoise Kiiltoaste 30,RAL 6034 Pastel turquoise Gloss 30,RAL 6034 Turkus pastelowy Polysk 30
RAL6034 - GL80,R6034.840,RS_1,RAL6034_GL80,N|124|173|172,RAL 6034 Pastellturkos Glans 80,RAL 6034 Pastel turquoise Glans 80,RAL 6034 Pastel turquoise Glans 80,RAL 6034 Pastel turquoise Kiiltoaste 80,RAL 6034 Pastel turquoise Gloss 80,RAL 6034 Turkus pastelowy Polysk 80
RAL6035 - GL30,R6035.34F,MT_1,RAL6035_GL30,N|19|77|36,RAL 6035 Pärlgrön Glans 30,RAL 6035 Pearl green Glans 70,RAL 6035 Pearl green Glans 30,RAL 6035 Pearl green Kiiltoaste 30,RAL 6035 Pearl green Gloss 30,RAL 6035 Perlowy zielony Polysk 30
RAL6035 - GL80,R6035.84F,MT_1,RAL6035_GL80,N|19|77|36,RAL 6035 Pärlgrön Glans 80,RAL 6035 Pearl green Glans 80,RAL 6035 Pearl green Glans 80,RAL 6035 Pearl green Kiiltoaste 80,RAL 6035 Pearl green Gloss 80,RAL 6035 Perlowy zielony Polysk 80
RAL6036 - GL30,R6036.34F,MT_1,RAL6036_GL30,N|7|88|75,RAL 6036 Pärlopalgrön Glans 30,RAL 6036 Pearl opal green Glans 30,RAL 6036 Pearl opal green Glans 30,RAL 6036 Pearl opal green Kiiltoaste 30,RAL 6036 Pearl opal green Gloss 30,RAL 6036 Perlowy opal zielony Polysk 30
RAL6036 - GL80,R6036.84F,MT_1,RAL6036_GL80,N|7|88|75,RAL 6036 Pärlopalgrön Glans 80,RAL 6036 Pearl opal green Glans 80,RAL 6036 Pearl opal green Glans 80,RAL 6036 Pearl opal green Kiiltoaste 80,RAL 6036 Pearl opal green Gloss 80,RAL 6036 Perlowy opal zielony Polysk 80
RAL6037 - GL30,R6037.340,RS_1,RAL6037_GL30,N|0|140|39,RAL 6037 Ren grön Glans 30,RAL 6037 Pure green Glans 30,RAL 6037 Pure green Glans 30,RAL 6037 Pure green Kiiltoaste 30,RAL 6037 Pure green Gloss 30,RAL 6037 Czysty zielony Polysk 30
RAL6037 - GL80,R6037.840,RS_1,RAL6037_GL80,N|0|140|39,RAL 6037 Ren grön Glans 80,RAL 6037 Pure green Glans 80,RAL 6037 Pure green Glans 80,RAL 6037 Pure green Kiiltoaste 80,RAL 6037 Pure green Gloss 80,RAL 6037 Czysty zielony Polysk 80
RAL0606040 - GL30,R6040.340,NC_1,RAL0606040_GL30,N|190|130|84,RAL Design 060 60 40 Glans 30,RAL Design 060 60 40 Glans 30,RAL Design 060 60 40 Glans 30,RAL Design 060 60 40 Kiiltoaste 30,RAL Design 060 60 40 Gloss 30,RAL Design 060 60 40 Polysk 30
RAL7000 - GL30,R7000.340,RS_1,RAL7000_GL30,N|123|136|142,RAL 7000 Ekorrgrå Glans 30,RAL 7000 Squirrel grey Glans 30,RAL 7000 Squirrel grey Glans 30,RAL 7000 Squirrel grey Kiiltoaste 30,RAL 7000 Squirrel grey Gloss 30,RAL 7000 Szary popielaty Polysk 30
RAL7000 - GL80,R7000.840,RS_1,RAL7000_GL80,N|123|136|142,RAL 7000 Ekorrgrå Glans 80,RAL 7000 Squirrel grey Glans 80,RAL 7000 Squirrel grey Glans 80,RAL 7000 Squirrel grey Kiiltoaste 80,RAL 7000 Squirrel grey Gloss 80,RAL 7000 Szary popielaty Polysk 80
RAL7001 - GL30,R7001.340,RS_1,RAL7001_GL30,N|142|150|157,RAL 7001 Silvergrå Glans 30,RAL 7001 Silver grey Glans 30,RAL 7001 Silver grey Glans 30,RAL 7001 Silver grey Kiiltoaste 30,RAL 7001 Silver grey Gloss 30,RAL 7001 Srebrno-szary Polysk 30
RAL7001 - GL80,R7001.840,RS_1,RAL7001_GL80,N|142|150|157,RAL 7001 Silvergrå Glans 80,RAL 7001 Silver grey Glans 80,RAL 7001 Silver grey Glans 80,RAL 7001 Silver grey Kiiltoaste 80,RAL 7001 Silver grey Gloss 80,RAL 7001 Srebrno-szary Polysk 80
RAL7002 - GL30,R7002.340,RS_1,RAL7002_GL30,N|127|120|99,RAL 7002 Olivgrå Glans 30,RAL 7002 Olive grey Glans 30,RAL 7002 Olive grey Glans 30,RAL 7002 Olive grey Kiiltoaste 30,RAL 7002 Olive grey Gloss 30,RAL 7002 Szary oliwkowy Polysk 30
RAL7002 - GL80,R7002.840,RS_1,RAL7002_GL80,N|127|120|99,RAL 7002 Olivgrå Glans 80,RAL 7002 Olive grey Glans 80,RAL 7002 Olive grey Glans 80,RAL 7002 Olive grey Kiiltoaste 80,RAL 7002 Olive grey Gloss 80,RAL 7002 Szary oliwkowy Polysk 80
RAL7003 - GL30,R7003.340,RS_1,RAL7003_GL30,N|120|119|105,RAL 7003 Mossgrå Glans 30,RAL 7003 Moss grey Glans 30,RAL 7003 Moss grey Glans 30,RAL 7003 Moss grey Kiiltoaste 30,RAL 7003 Moss grey Gloss 30,RAL 7003 Szary mech Polysk 30
RAL7003 - GL80,R7003.840,RS_1,RAL7003_GL80,N|120|119|105,RAL 7003 Mossgrå Glans 80,RAL 7003 Moss grey Glans 80,RAL 7003 Moss grey Glans 80,RAL 7003 Moss grey Kiiltoaste 80,RAL 7003 Moss grey Gloss 80,RAL 7003 Szary mech Polysk 80
RAL7004 - GL30,R7004.340,RS_1,RAL7004_GL30,N|155|155|155,RAL 7004 Signalgrå Glans 30,RAL 7004 Signal grey Glans 30,RAL 7004 Signal grey Glans 30,RAL 7004 Signal grey Kiiltoaste 30,RAL 7004 Signal grey Gloss 30,RAL 7004 Szary sygnalowy Polysk 30
RAL7004 - GL80,R7004.840,RS_1,RAL7004_GL80,N|155|155|155,RAL 7004 Signalgrå Glans 80,RAL 7004 Signal grey Glans 80,RAL 7004 Signal grey Glans 80,RAL 7004 Signal grey Kiiltoaste 80,RAL 7004 Signal grey Gloss 80,RAL 7004 Szary sygnalowy Polysk 80
RAL7005 - GL30,R7005.340,RS_1,RAL7005_GL30,N|107|110|107,RAL 7005 Musgrå Glans 30,RAL 7005 Mouse grey Glans 30,RAL 7005 Mouse grey Glans 30,RAL 7005 Mouse grey Kiiltoaste 30,RAL 7005 Mouse grey Gloss 30,RAL 7005 Szary mysi Polysk 30
RAL7005 - GL80,R7005.840,RS_1,RAL7005_GL80,N|107|110|107,RAL 7005 Musgrå Glans 80,RAL 7005 Mouse grey Glans 80,RAL 7005 Mouse grey Glans 80,RAL 7005 Mouse grey Kiiltoaste 80,RAL 7005 Mouse grey Gloss 80,RAL 7005 Szary mysi Polysk 80
Doesn't exist,R7006.149,MT_1,RAL7006_GL10,N|118|106|94,RAL 7006 Fine Texture,RAL 7006 Fine Texture,RAL 7006 Fine Texture,RAL 7006 Fine Texture,RAL 7006 Fine Texture,RAL 7006 Fine Texture
RAL7006 - GL30,R7006.340,RS_1,RAL7006_GL30,N|117|106|94,RAL 7006 Beigegrå Glans 30,RAL 7006 Beige grey Glans 30,RAL 7006 Beige grey Glans 30,RAL 7006 Beige grey Kiiltoaste 30,RAL 7006 Beige grey Gloss 30,RAL 7006 Szaro-bezowy Polysk 30
RAL7006 - GL80,R7006.840,RS_1,RAL7006_GL80,N|117|106|94,RAL 7006 Beigegrå Glans 80,RAL 7006 Beige grey Glans 80,RAL 7006 Beige grey Glans 80,RAL 7006 Beige grey Kiiltoaste 80,RAL 7006 Beige grey Gloss 80,RAL 7006 Szaro-bezowy Polysk 80
RAL7008 - GL30,R7008.340,RS_1,RAL7008_GL30,N|114|95|60,RAL 7008 Kakigrå Glans 30,RAL 7008 Khaki grey Glans 30,RAL 7008 Khaki grey Glans 30,RAL 7008 Khaki grey Kiiltoaste 30,RAL 7008 Khaki grey Gloss 30,RAL 7008 Szary khaki  Polysk 30
RAL7008 - GL80,R7008.840,RS_1,RAL7008_GL80,N|114|95|60,RAL 7008 Kakigrå Glans 80,RAL 7008 Khaki grey Glans 80,RAL 7008 Khaki grey Glans 80,RAL 7008 Khaki grey Kiiltoaste 80,RAL 7008 Khaki grey Gloss 80,RAL 7008 Szary khaki  Polysk 80
RAL7009 - GL30,R7009.340,RS_1,RAL7009_GL30,N|92|96|88,RAL 7009 Gröngrå Glans 30,RAL 7009 Green grey Glans 30,RAL 7009 Green grey Glans 30,RAL 7009 Green grey Kiiltoaste 30,RAL 7009 Green grey Gloss 30,RAL 7009 Szaro-zielony Polysk 30
RAL7009 - GL80,R7009.840,RS_1,RAL7009_GL80,N|92|96|88,RAL 7009 Gröngrå Glans 80,RAL 7009 Green grey Glans 80,RAL 7009 Green grey Glans 80,RAL 7009 Green grey Kiiltoaste 80,RAL 7009 Green grey Gloss 80,RAL 7009 Szaro-zielony Polysk 80
RAL7010 - GL10,R7010.149,MT_1,SL310G,N|88|92|86,RAL 7010 Fine Texture (SL310G),RAL 7010 Fine Texture (SL310G),RAL 7010 Fine Texture (SL310G),RAL 7010 Fine Texture (SL310G),RAL 7010 Fine Texture (SL310G),RAL 7010 Fine Texture (SL310G)
RAL7010 - GL30,R7010.340,RS_1,RAL7010_GL30,N|88|92|86,RAL 7010 Tältgrå Glans 30,RAL 7010 Tarpaulin grey Glans 30,RAL 7010 Tarpaulin grey Glans 30,RAL 7010 Tarpaulin grey Kiiltoaste 30,RAL 7010 Tarpaulin grey Gloss 30,RAL 7010 Plandeka szara Polysk 30
RAL7010 - GL80,R7010.840,RS_1,RAL7010_GL80,N|88|92|86,RAL 7010 Tältgrå Glans 80,RAL 7010 Tarpaulin grey Glans 80,RAL 7010 Tarpaulin grey Glans 80,RAL 7010 Tarpaulin grey Kiiltoaste 80,RAL 7010 Tarpaulin grey Gloss 80,RAL 7010 Plandeka szara Polysk 80
RAL7011 - GL30,R7011.340,RS_1,RAL7011_GL30,N|83|89|93,RAL 7011 Järngrå Glans 30,RAL 7011 Iron grey Glans 30,RAL 7011 Iron grey Glans 30,RAL 7011 Iron grey Kiiltoaste 30,RAL 7011 Iron grey Gloss 30,RAL 7011 Szary zelazny Polysk 30
RAL7011 - GL80,R7011.840,RS_1,RAL7011_GL80,N|83|89|93,RAL 7011 Järngrå Glans 80,RAL 7011 Iron grey Glans 80,RAL 7011 Iron grey Glans 80,RAL 7011 Iron grey Kiiltoaste 80,RAL 7011 Iron grey Gloss 80,RAL 7011 Szary zelazny Polysk 80
RAL7012 - GL10,R7012.149,MT_1,RAL7012_GL10,N|88|93|94,RAL 7012 Fine Texture ,RAL 7012 Fine Texture ,RAL 7012 Fine Texture ,RAL 7012 Fine Texture ,RAL 7012 Fine Texture ,RAL 7012 Fine Texture 
RAL7012 - GL30,R7012.340,RS_1,RAL7012_GL30,N|88|93|94,RAL 7012 Basaltgrå Glans 30,RAL 7012 Basalt grey Glans 30,RAL 7012 Basalt grey Glans 30,RAL 7012 Basalt grey Kiiltoaste 30,RAL 7012 Basalt grey Gloss 30,RAL 7012 Szary bazaltowy Polysk 30
RAL7012 - GL80,R7012.840,RS_1,RAL7012_GL80,N|88|93|94,RAL 7012 Basaltgrå Glans 80,RAL 7012 Basalt grey Glans 80,RAL 7012 Basalt grey Glans 80,RAL 7012 Basalt grey Kiiltoaste 80,RAL 7012 Basalt grey Gloss 80,RAL 7012 Szary bazaltowy Polysk 80
RAL7013 - GL30,R7013.340,RS_1,RAL7013_GL30,N|86|80|68,RAL 7013 Brungrå Glans 30,RAL 7013 Brown grey Glans 30,RAL 7013 Brown grey Glans 30,RAL 7013 Brown grey Kiiltoaste 30,RAL 7013 Brown grey Gloss 30,RAL 7013 Brazowo-szary Polysk 30
RAL7013 - GL80,R7013.840,RS_1,RAL7013_GL80,N|86|80|68,RAL 7013 Brungrå Glans 80,RAL 7013 Brown grey Glans 80,RAL 7013 Brown grey Glans 80,RAL 7013 Brown grey Kiiltoaste 80,RAL 7013 Brown grey Gloss 80,RAL 7013 Brazowo-szary Polysk 80
RAL7015 - GL30,R7015.340,RS_1,RAL7015_GL30,N|80|83|89,RAL 7015 Skiffergrå Glans 30,RAL 7015 Slate grey Glans 30,RAL 7015 Slate grey Glans 30,RAL 7015 Slate grey Kiiltoaste 30,RAL 7015 Slate grey Gloss 30,RAL 7015 Szary lupkowy Polysk 30
RAL7015 - GL80,R7015.840,RS_1,RAL7015_GL80,N|80|83|89,RAL 7015 Skiffergrå Glans 80,RAL 7015 Slate grey Glans 80,RAL 7015 Slate grey Glans 80,RAL 7015 Slate grey Kiiltoaste 80,RAL 7015 Slate grey Gloss 80,RAL 7015 Szary lupkowy Polysk 80
RAL7016 - GL10,R7016.149,MT_1,SLA16F,N|56|62|66,RAL 7016 Fiji (SLA16F),RAL 7016 Fiji (SLA16F),RAL 7016 Fiji (SLA16F),RAL 7016 Fiji (SLA16F),RAL 7016 Fiji (SLA16F),RAL 7016 Fiji (SLA16F)
RAL7016 - GL30,R7016.340,RS_1,RAL7016_GL30,N|56|62|66,RAL 7016 Antracitgrå Glans 30,RAL 7016 Anthracite grey Glans 30,RAL 7016 Anthracite grey Glans 30,RAL 7016 Anthracite grey Kiiltoaste 30,RAL 7016 Anthracite grey Gloss 30,RAL 7016 Szary antracytowy Polysk 30
Doesn't exist,R7016.730,ADUM,GREY,N|56|62|66,RAL 7016 Antracitgrå Glans 70,RAL 7016 Anthracite grey Glans 70,RAL 7016 Anthracite grey Glans 70,RAL 7016 Anthracite grey Kiiltoaste 70,RAL 7016 Anthracite grey Gloss 70,RAL 7016 Szary antracytowy Polysk 70
Doesn't exist,R7016.830,ADUM,GREY,N|56|62|66,RAL 7016 Antracitgrå Glans 80,RAL 7016 Anthracite grey Glans 80,RAL 7016 Anthracite grey Glans 80,RAL 7016 Anthracite grey Kiiltoaste 80,RAL 7016 Anthracite grey Gloss 80,RAL 7016 Szary antracytowy Polysk 80
RAL7016 - GL80,R7016.840,RS_1,RAL7016_GL80,N|56|62|66,RAL 7016 Antracitgrå Glans 80,RAL 7016 Anthracite grey Glans 80,RAL 7016 Anthracite grey Glans 80,RAL 7016 Anthracite grey Kiiltoaste 80,RAL 7016 Anthracite grey Gloss 80,RAL 7016 Szary antracytowy Polysk 80
RAL7017 - GL30,R7017.340,RS_1,RAL7017_GL30,N|92|83|52,RAL 7017 Mörkbrun Glans 30,RAL 7017 Dark brown Glans 30,RAL 7017 Dark brown Glans 30,RAL 7017 Dark brown Kiiltoaste 30,RAL 7017 Dark brown Gloss 30,RAL 7017 Ciemny braz Polysk 30
RAL7017 - GL80,R7017.840,RS_1,RAL7017_GL80,N|92|83|52,RAL 7017 Mörkbrun Glans 80,RAL 7017 Dark brown Glans 80,RAL 7017 Dark brown Glans 80,RAL 7017 Dark brown Kiiltoaste 80,RAL 7017 Dark brown Gloss 80,RAL 7017 Ciemny braz Polysk 80
RAL7021 - GL10,R7021.149,MT_1,SL321G,N|48|50|52,RAL 7021 Fine Texture (SL321G) Glans 10,RAL 7021 Fine Texture (SL321G) Glans 10,RAL 7021 Fine Texture (SL321G) Glans 10,RAL 7021 Fine Texture (SL321G) Kiiltoaste 10,RAL 7021 Fine Texture (SL321G) Gloss 10,RAL 7021 Fine Texture (SL321G) Polysk 10
RAL7021 - GL30,R7021.340,RS_1,RAL7021_GL30,N|48|50|52,RAL 7021 Svartgrå Glans 30,RAL 7021 Black grey Glans 30,RAL 7021 Black grey Glans 30,RAL 7021 Black grey Kiiltoaste 30,RAL 7021 Black grey Gloss 30,RAL 7021 Czarno-szary Polysk 30
RAL7021 - GL30,R7021.34F,MT_1,SL321G_GL30,N|48|50|52,RAL 7021 Fine Texture (SL321G) Glans 30,RAL 7021 Fine Texture (SL321G) Glans 30,RAL 7021 Fine Texture (SL321G) Glans 30,RAL 7021 Fine Texture (SL321G) Kiiltoaste 30,RAL 7021 Fine Texture (SL321G) Gloss 30,RAL 7021 Fine Texture (SL321G) Polysk 30
RAL7021 - GL80,R7021.840,RS_1,RAL7021_GL80,N|48|50|52,RAL 7021 Svartgrå Glans 80,RAL 7021 Black grey Glans 80,RAL 7021 Black grey Glans 80,RAL 7021 Black grey Kiiltoaste 80,RAL 7021 Black grey Gloss 80,RAL 7021 Czarno-szary Polysk 80
RAL7022 - GL30,R7022.340,RS_1,RAL7022_GL30,N|76|74|68,RAL 7022 Umbragrå Glans 30,RAL 7022 Umbra grey Glans 30,RAL 7022 Umbra grey Glans 30,RAL 7022 Umbra grey Kiiltoaste 30,RAL 7022 Umbra grey Gloss 30,RAL 7022 Szary umbra Polysk 30
RAL7022 - GL80,R7022.840,RS_1,RAL7022_GL80,N|76|74|68,RAL 7022 Umbragrå Glans 80,RAL 7022 Umbra grey Glans 80,RAL 7022 Umbra grey Glans 80,RAL 7022 Umbra grey Kiiltoaste 80,RAL 7022 Umbra grey Gloss 80,RAL 7022 Szary umbra Polysk 80
