SapaLogicColor,TechDesignColor,SurfaceTreatmentGroup,OutputText,RGB,DescriptionSE,DescriptionNO,DescriptionDK,DescriptionFI,DescriptionEN,DescriptionPL
1060Y - GL80,N1060.840Y,NC_1,1060Y_GL80,N|242|216|70,NCS S 1060-Y Glans 80,NCS S 1060-Y Glans 80,NCS S 1060-Y Glans 80,NCS S 1060-Y Kiiltoaste 80,NCS S 1060-Y Gloss 80,NCS S 1060-Y Polysk 80
1070Y20R - GL30,N1070.340A,NC_1,1070Y20R_GL30,N|242|179|47,NCS S 1070-Y20R Glans 30,NCS S 1070-Y20R Glans 30,NCS S 1070-Y20R Glans 30,NCS S 1070-Y20R Kiiltoaste 30,NCS S 1070-Y20R Gloss 30,NCS S 1070-Y20R Polysk 30
1070Y90R - GL30,N1070.340F,NC_1,1070Y90R_GL30,N|242|52|39,NCS S 1070-Y90R Glans 30,NCS S 1070-Y90R Glans 30,NCS S 1070-Y90R Glans 30,NCS S 1070-Y90R Kiiltoaste 30,NCS S 1070-Y90R Gloss 30,NCS S 1070-Y90R Polysk 30
1070Y40R - GL30,N1070.340J,NC_1,1070Y40R_GL30,N|242|144|43,NCS S 1070-Y40R Glans 30,NCS S 1070-Y40R Glans 30,NCS S 1070-Y40R Glans 30,NCS S 1070-Y40R Kiiltoaste 30,NCS S 1070-Y40R Gloss 30,NCS S 1070-Y40R Polysk 30
1070Y30R - GL30,N1070.340L,NC_1,1070Y30R_GL30,N|242|162|45,NCS S 1070-Y30R Glans 30,NCS S 1070-Y30R Glans 30,NCS S 1070-Y30R Glans 30,NCS S 1070-Y30R Kiiltoaste 30,NCS S 1070-Y30R Gloss 30,NCS S 1070-Y30R Polysk 30
1070Y10R - GL30,N1070.340P,NC_1,1070Y10R_GL30,N|242|196|49,NCS S 1070-Y10R Glans 30,NCS S 1070-Y10R Glans 30,NCS S 1070-Y10R Glans 30,NCS S 1070-Y10R Kiiltoaste 30,NCS S 1070-Y10R Gloss 30,NCS S 1070-Y10R Polysk 30
1070Y20R - GL80,N1070.840A,NC_1,1070Y20R_GL80,N|242|179|47,NCS S 1070-Y20R Glans 80,NCS S 1070-Y20R Glans 80,NCS S 1070-Y20R Glans 80,NCS S 1070-Y20R Kiiltoaste 80,NCS S 1070-Y20R Gloss 80,NCS S 1070-Y20R Polysk 80
1070Y30R - GL80,N1070.840L,NC_1,1070Y30R_GL80,N|242|162|45,NCS S 1070-Y30R Glans 80,NCS S 1070-Y30R Glans 80,NCS S 1070-Y30R Glans 80,NCS S 1070-Y30R Kiiltoaste 80,NCS S 1070-Y30R Gloss 80,NCS S 1070-Y30R Polysk 80
1070Y10R - GL80,N1070.840P,NC_1,1070Y10R_GL80,N|242|196|49,NCS S 1070-Y10R Glans 80,NCS S 1070-Y10R Glans 80,NCS S 1070-Y10R Glans 80,NCS S 1070-Y10R Kiiltoaste 80,NCS S 1070-Y10R Gloss 80,NCS S 1070-Y10R Polysk 80
1075G40Y - GL30,N1075.3404,NC_1,1075G40Y_GL30,N|174|242|38,NCS S 1075-G40Y Glans 30,NCS S 1075-G40Y Glans 30,NCS S 1075-G40Y Glans 30,NCS S 1075-G40Y Kiiltoaste 30,NCS S 1075-G40Y Gloss 30,NCS S 1075-G40Y Polysk 30
1075G70Y - GL30,N1075.340K,NC_1,1075G70Y_GL30,N|232|242|43,NCS S 1075-G70Y Glans 30,NCS S 1075-G70Y Glans 30,NCS S 1075-G70Y Glans 30,NCS S 1075-G70Y Kiiltoaste 30,NCS S 1075-G70Y Gloss 30,NCS S 1075-G70Y Polysk 30
1075G20Y - GL30,N1075.340T,NC_1,1075G20Y_GL30,N|119|242|68,NCS S 1075-G20Y Glans 30,NCS S 1075-G20Y Glans 30,NCS S 1075-G20Y Glans 30,NCS S 1075-G20Y Kiiltoaste 30,NCS S 1075-G20Y Gloss 30,NCS S 1075-G20Y Polysk 30
1075G40Y - GL80,N1075.8404,NC_1,1075G40Y_GL80,N|174|242|38,NCS S 1075-G40Y Glans 80,NCS S 1075-G40Y Glans 80,NCS S 1075-G40Y Glans 80,NCS S 1075-G40Y Kiiltoaste 80,NCS S 1075-G40Y Gloss 80,NCS S 1075-G40Y Polysk 80
1075G20Y - GL80,N1075.840T,NC_1,1075G20Y_GL80,N|119|242|68,NCS S 1075-G20Y Glans 80,NCS S 1075-G20Y Glans 80,NCS S 1075-G20Y Glans 80,NCS S 1075-G20Y Kiiltoaste 80,NCS S 1075-G20Y Gloss 80,NCS S 1075-G20Y Polysk 80
1080Y20R - GL30,N1080.340A,NC_1,1080Y20R_GL30,N|242|174|30,NCS S 1080-Y20R Glans 30,NCS S 1080-Y20R Glans 30,NCS S 1080-Y20R Glans 30,NCS S 1080-Y20R Kiiltoaste 30,NCS S 1080-Y20R Gloss 30,NCS S 1080-Y20R Polysk 30
1080Y80R - GL30,N1080.340C,NC_1,1080Y80R_GL30,N|242|60|22,NCS S 1080-Y80R Glans 30,NCS S 1080-Y80R Glans 30,NCS S 1080-Y80R Glans 30,NCS S 1080-Y80R Kiiltoaste 30,NCS S 1080-Y80R Gloss 30,NCS S 1080-Y80R Polysk 30
1080Y50R - GL30,N1080.340D,NC_1,1080Y50R_GL30,N|242|117|26,NCS S 1080-Y50R Glans 30,NCS S 1080-Y50R Glans 30,NCS S 1080-Y50R Glans 30,NCS S 1080-Y50R Kiiltoaste 30,NCS S 1080-Y50R Gloss 30,NCS S 1080-Y50R Polysk 30
1080Y70R - GL30,N1080.340E,NC_1,1080Y70R_GL30,N|242|79|23,NCS S 1080-Y70R Glans 30,NCS S 1080-Y70R Glans 30,NCS S 1080-Y70R Glans 30,NCS S 1080-Y70R Kiiltoaste 30,NCS S 1080-Y70R Gloss 30,NCS S 1080-Y70R Polysk 30
1080Y90R - GL30,N1080.340F,NC_1,1080Y90R_GL30,N|242|40|26,NCS S 1080-Y90R Glans 30,NCS S 1080-Y90R Glans 30,NCS S 1080-Y90R Glans 30,NCS S 1080-Y90R Kiiltoaste 30,NCS S 1080-Y90R Gloss 30,NCS S 1080-Y90R Polysk 30
1080G30Y - GL30,N1080.340H,NC_1,1080G30Y_GL30,N|145|242|44,NCS S 1080-G30Y Glans 30,NCS S 1080-G30Y Glans 30,NCS S 1080-G30Y Glans 30,NCS S 1080-G30Y Kiiltoaste 30,NCS S 1080-G30Y Gloss 30,NCS S 1080-G30Y Polysk 30
1080Y40R - GL30,N1080.340J,NC_1,1080Y40R_GL30,N|242|136|27,NCS S 1080-Y40R Glans 30,NCS S 1080-Y40R Glans 30,NCS S 1080-Y40R Glans 30,NCS S 1080-Y40R Kiiltoaste 30,NCS S 1080-Y40R Gloss 30,NCS S 1080-Y40R Polysk 30
1080Y30R - GL30,N1080.340L,NC_1,1080Y30R_GL30,N|242|155|28,NCS S 1080-Y30R Glans 30,NCS S 1080-Y30R Glans 30,NCS S 1080-Y30R Glans 30,NCS S 1080-Y30R Kiiltoaste 30,NCS S 1080-Y30R Gloss 30,NCS S 1080-Y30R Polysk 30
1080Y10R - GL30,N1080.340P,NC_1,1080Y10R_GL30,N|242|192|31,NCS S 1080-Y10R Glans 30,NCS S 1080-Y10R Glans 30,NCS S 1080-Y10R Glans 30,NCS S 1080-Y10R Kiiltoaste 30,NCS S 1080-Y10R Gloss 30,NCS S 1080-Y10R Polysk 30
1080R - GL30,N1080.340R,NC_1,1080R_GL30,N|242|20|34,NCS S 1080-R Glans 30,NCS S 1080-R Glans 30,NCS S 1080-R Glans 30,NCS S 1080-R Kiiltoaste 30,NCS S 1080-R Gloss 30,NCS S 1080-R Polysk 30
1080Y20R - GL80,N1080.840A,NC_1,1080Y20R_GL80,N|242|174|30,NCS S 1080-Y20R Glans 80,NCS S 1080-Y20R Glans 80,NCS S 1080-Y20R Glans 80,NCS S 1080-Y20R Kiiltoaste 80,NCS S 1080-Y20R Gloss 80,NCS S 1080-Y20R Polysk 80
1080Y80R - GL80,N1080.840C,NC_1,1080Y80R_GL80,N|242|60|22,NCS S 1080-Y80R Glans 80,NCS S 1080-Y80R Glans 80,NCS S 1080-Y80R Glans 80,NCS S 1080-Y80R Kiiltoaste 80,NCS S 1080-Y80R Gloss 80,NCS S 1080-Y80R Polysk 80
1080Y50R - GL80,N1080.840D,NC_1,1080Y50R_GL80,N|242|117|26,NCS S 1080-Y50R Glans 80,NCS S 1080-Y50R Glans 80,NCS S 1080-Y50R Glans 80,NCS S 1080-Y50R Kiiltoaste 80,NCS S 1080-Y50R Gloss 80,NCS S 1080-Y50R Polysk 80
1080Y70R - GL80,N1080.840E,NC_1,1080Y70R_GL80,N|242|79|23,NCS S 1080-Y70R Glans 80,NCS S 1080-Y70R Glans 80,NCS S 1080-Y70R Glans 80,NCS S 1080-Y70R Kiiltoaste 80,NCS S 1080-Y70R Gloss 80,NCS S 1080-Y70R Polysk 80
1080Y90R - GL80,N1080.840F,NC_1,1080Y90R_GL80,N|242|40|26,NCS S 1080-Y90R Glans 80,NCS S 1080-Y90R Glans 80,NCS S 1080-Y90R Glans 80,NCS S 1080-Y90R Kiiltoaste 80,NCS S 1080-Y90R Gloss 80,NCS S 1080-Y90R Polysk 80
1080G30Y - GL80,N1080.840H,NC_1,1080G30Y_GL80,N|145|242|44,NCS S 1080-G30Y Glans 80,NCS S 1080-G30Y Glans 80,NCS S 1080-G30Y Glans 80,NCS S 1080-G30Y Kiiltoaste 80,NCS S 1080-G30Y Gloss 80,NCS S 1080-G30Y Polysk 80
1080Y10R - GL80,N1080.840P,NC_1,1080Y10R_GL80,N|242|192|31,NCS S 1080-Y10R Glans 80,NCS S 1080-Y10R Glans 80,NCS S 1080-Y10R Glans 80,NCS S 1080-Y10R Kiiltoaste 80,NCS S 1080-Y10R Gloss 80,NCS S 1080-Y10R Polysk 80
1080R - GL80,N1080.840R,NC_1,1080R_GL80,N|242|20|34,NCS S 1080-R Glans 80,NCS S 1080-R Glans 80,NCS S 1080-R Glans 80,NCS S 1080-R Kiiltoaste 80,NCS S 1080-R Gloss 80,NCS S 1080-R Polysk 80
1080Y60R - GL80,N1080.840W,NC_1,1080Y60R_GL80,N|228|89|0,NCS S 1080-Y60R Glans 80,NCS S 1080-Y60R Glans 80,NCS S 1080-Y60R Glans 80,NCS S 1080-Y60R Kiiltoaste 80,NCS S 1080-Y60R Gloss 80,NCS S 1080-Y60R Polysk 80
1085Y80R - GL30,N1085.340C,NC_1,1085Y80R_GL30,N|242|55|16,NCS S 1085-Y80R Glans 30,NCS S 1085-Y80R Glans 30,NCS S 1085-Y80R Glans 30,NCS S 1085-Y80R Kiiltoaste 30,NCS S 1085-Y80R Gloss 30,NCS S 1085-Y80R Polysk 30
1085Y90R - GL30,N1085.340F,NC_1,1085Y90R_GL30,N|242|35|21,NCS S 1085-Y90R Glans 30,NCS S 1085-Y90R Glans 30,NCS S 1085-Y90R Glans 30,NCS S 1085-Y90R Kiiltoaste 30,NCS S 1085-Y90R Gloss 30,NCS S 1085-Y90R Polysk 30
1500N - GL30,N1500.340N,NC_1,1500N_GL30,N|217|217|217,NCS S 1500-N Glans 30,NCS S 1500-N Glans 30,NCS S 1500-N Glans 30,NCS S 1500-N Kiiltoaste 30,NCS S 1500-N Gloss 30,NCS S 1500-N Polysk 30
1500N - GL80,N1500.840N,NC_1,1500N_GL80,N|217|217|217,NCS S 1500-N Glans 80,NCS S 1500-N Glans 80,NCS S 1500-N Glans 80,NCS S 1500-N Kiiltoaste 80,NCS S 1500-N Gloss 80,NCS S 1500-N Polysk 80
